"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","13.6","187.6","0.9","0.0","0.0","0.0","0.4","47.2"
"A.T. Perry","NOhigh","20.0","296.6","2.3","0.3","1.8","0.0","0.0","63.7"
"","high","40.0","650.0","6.0","1.0","4.0","0.0","0.0","112.0"
"","low","3.7","43.6","0.3","0.0","0.0","0.0","0.0","26.2"
"Olamide Zaccheaus","WAShigh","23.3","294.1","1.7","0.0","5.0","0.0","0.0","63.5"
"","high","36.0","441.0","3.0","0.0","15.0","0.0","0.0","122.9"
"","low","6.5","75.8","0.4","0.0","0.0","0.0","0.1","32.9"
"Jalen Nailor","MINhigh","23.8","296.9","1.5","0.0","0.3","0.0","0.0","62.3"
"","high","34.0","471.0","2.0","0.0","1.0","0.0","0.0","101.9"
"","low","10.5","129.8","0.6","0.0","0.0","0.0","0.1","39.9"
"Jauan Jennings","SFhigh","21.5","264.9","1.7","0.0","3.3","0.0","0.1","58.3"
"","high","37.0","452.0","3.0","0.0","10.0","0.0","0.0","122.7"
"","low","6.6","76.3","0.6","0.0","0.0","0.0","0.2","32.5"
"Xavier Gipson","NYJhigh","19.1","218.5","1.6","4.6","32.6","0.2","0.1","54.4"
"","high","28.0","302.0","2.1","4.8","42.0","0.3","0.0","99.5"
"","low","8.6","96.1","0.6","4.4","27.2","0.0","0.3","35.4"
"Javon Baker","NEhigh","20.3","243.7","1.4","0.0","7.3","0.0","0.0","53.4"
"","high","40.0","485.0","3.0","0.0","22.0","0.0","0.0","129.0"
"","low","10.0","114.1","0.5","0.0","0.0","0.0","0.1","34.8"
"Tutu Atwell","LARhigh","18.4","242.4","1.2","2.2","14.1","0.1","0.1","51.8"
"","high","19.7","265.0","1.4","2.3","17.0","0.2","0.0","69.3"
"","low","16.5","220.3","1.0","2.1","12.3","0.0","0.2","50.4"
"Allen Lazard","NYJhigh","18.1","231.8","1.7","0.0","0.7","0.0","0.1","51.3"
"","high","32.5","402.7","2.7","0.0","2.0","0.0","0.0","74.9"
"","low","9.0","123.0","1.0","0.0","0.0","0.0","0.1","42.7"
"K.J. Osborn","NEhigh","18.1","222.6","1.4","0.0","2.0","0.0","0.0","48.6"
"","high","33.0","427.0","3.0","0.0","6.0","0.0","0.0","112.4"
"","low","8.3","85.8","0.4","0.0","0.0","0.0","0.1","29.1"
"Brandon Johnson","DENhigh","14.4","190.6","2.5","0.0","2.3","0.0","0.0","48.4"
"","high","27.0","378.0","6.0","0.0","7.0","0.0","0.0","80.4"
"","low","6.2","69.9","0.4","0.0","0.0","0.0","0.0","23.6"
"KhaDarel Hodge","ATLhigh","17.0","226.7","1.4","0.0","0.0","0.0","0.2","47.6"
"","high","21.3","279.5","1.8","0.0","0.0","0.0","0.2","55.5"
"","low","12.7","173.8","1.0","0.0","0.0","0.0","0.2","40.3"
"Trenton Irwin","CINhigh","17.1","218.0","1.5","0.0","1.5","0.0","0.1","47.6"
"","high","36.0","485.0","3.0","0.0","4.0","0.0","0.0","74.1"
"","low","7.5","91.0","0.6","0.0","0.0","0.0","0.2","29.7"
"Noah Brown","HOUhigh","15.4","213.0","1.4","0.0","1.0","0.0","0.1","45.3"
"","high","18.0","249.0","2.0","0.0","3.0","0.0","0.0","70.6"
"","low","10.7","153.8","0.8","0.0","0.0","0.0","0.2","35.2"
"Lil'Jordan Humphrey","DENhigh","12.0","156.8","2.6","0.0","0.0","0.0","0.0","43.2"
"","high","21.0","277.0","5.0","0.0","0.0","0.0","0.0","61.0"
"","low","3.0","36.6","0.2","0.0","0.0","0.0","0.0","16.9"
"Jake Bobo","SEAhigh","15.0","174.0","1.3","4.2","18.4","0.2","0.1","42.7"
"","high","20.0","246.0","2.0","8.4","51.3","0.5","0.0","72.0"
"","low","10.4","118.3","0.8","0.0","0.0","0.0","0.2","31.2"
"Quez Watkins","PIThigh","14.0","196.0","1.0","0.0","5.0","0.0","0.0","40.1"
"","high","14.0","196.0","1.0","0.0","5.0","0.0","0.0","54.1"
"","low","14.0","196.0","1.0","0.0","5.0","0.0","0.0","54.1"
"Mack Hollins","BUFhigh","13.8","177.4","1.3","0.0","0.0","0.0","0.0","39.0"
"","high","21.6","281.8","1.9","0.0","0.0","0.0","0.0","53.1"
"","low","10.0","122.5","0.9","0.0","0.0","0.0","0.1","31.4"
"David Bell","CLEhigh","14.6","150.1","1.4","0.0","1.0","0.0","0.0","38.2"
"","high","33.0","330.0","4.0","0.0","4.0","0.0","0.0","62.6"
"","low","5.5","61.2","0.3","0.0","0.0","0.0","0.1","23.0"
"Bub Means","NOhigh","13.2","160.0","1.1","0.0","0.0","0.0","0.0","35.5"
"","high","14.5","175.1","1.1","0.0","0.0","0.0","0.0","45.7"
"","low","12.0","145.0","1.0","0.0","0.0","0.0","0.1","37.3"
"Brandon Powell","MINhigh","14.4","143.6","0.9","1.9","14.6","0.0","0.1","35.3"
"","high","18.6","190.0","1.0","3.8","23.0","0.1","0.0","50.8"
"","low","10.5","99.8","0.6","0.0","0.0","0.0","0.2","27.5"
"Tyquan Thornton","NEhigh","12.8","159.9","0.9","1.0","6.6","0.0","0.1","34.6"
"","high","15.5","198.8","1.0","1.9","11.8","0.1","0.0","40.3"
"","low","9.0","117.0","0.7","0.0","0.0","0.0","0.2","33.0"
"Kadarius Toney","KChigh","11.0","121.5","0.8","7.5","44.4","0.2","0.1","33.9"
"","high","14.0","172.0","1.0","9.0","51.4","0.4","0.0","53.1"
"","low","8.7","86.7","0.7","6.1","32.9","0.0","0.2","29.8"
"Justin Watson","KChigh","11.3","158.6","1.1","0.0","0.0","0.0","0.1","33.8"
"","high","14.9","215.8","1.7","0.0","0.0","0.0","0.0","43.0"
"","low","8.1","116.1","0.7","0.0","0.0","0.0","0.2","26.9"
"Cornelius Johnson","LAChigh","11.0","166.0","1.0","0.0","0.0","0.0","0.0","33.6"
"","high","11.0","166.0","1.0","0.0","0.0","0.0","0.0","44.6"
"","low","11.0","166.0","1.0","0.0","0.0","0.0","0.0","44.6"
"Malik Washington","MIAhigh","11.7","145.2","0.9","2.1","13.3","0.1","0.0","33.0"
"","high","13.0","166.0","1.0","2.1","14.0","0.1","0.0","48.7"
"","low","10.4","124.4","0.7","2.1","12.6","0.0","0.1","31.0"
"Ryan Flournoy","DALhigh","12.0","141.2","1.1","0.0","0.0","0.0","0.0","32.5"
"","high","13.0","156.4","1.2","0.0","0.0","0.0","0.0","41.6"
"","low","11.0","126.0","1.0","0.0","0.0","0.0","0.1","34.5"
"Jamison Crowder","WAShigh","13.8","137.2","0.8","0.0","0.0","0.0","0.1","32.0"
"","high","14.8","151.3","1.0","0.0","0.0","0.0","0.0","44.0"
"","low","12.0","122.0","0.5","0.0","0.0","0.0","0.2","31.1"
"Jamari Thrash","CLEhigh","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"","high","11.0","141.0","1.0","0.0","6.0","0.0","0.0","42.7"
"","low","11.0","141.0","1.0","0.0","6.0","0.0","0.0","42.7"
"Johnny Wilson","PHIhigh","11.9","141.2","0.9","0.0","2.5","0.0","0.0","31.4"
"","high","14.0","167.0","1.0","0.0","5.0","0.0","0.0","49.1"
"","low","9.8","115.4","0.7","0.0","0.0","0.0","0.1","27.8"
"Mason Tipton","NOhigh","12.0","131.0","1.0","0.0","0.0","0.0","0.0","31.1"
"","high","12.0","131.0","1.0","0.0","0.0","0.0","0.0","43.1"
"","low","12.0","131.0","1.0","0.0","0.0","0.0","0.0","43.1"
"Jacob Cowing","SFhigh","11.0","134.0","1.0","0.0","6.0","0.0","0.0","31.0"
"","high","11.0","134.0","1.0","0.0","6.0","0.0","0.0","42.0"
"","low","11.0","134.0","1.0","0.0","6.0","0.0","0.0","42.0"
"Tahj Washington","MIAhigh","11.0","131.0","1.0","0.0","0.0","0.0","0.0","30.1"
"","high","11.0","131.0","1.0","0.0","0.0","0.0","0.0","41.1"
"","low","11.0","131.0","1.0","0.0","0.0","0.0","0.0","41.1"
"Marquez Valdes-Scantling","BUFhigh","9.0","139.4","1.1","0.0","1.0","0.0","0.0","29.3"
"","high","15.0","226.0","2.0","0.0","3.0","0.0","0.0","58.9"
"","low","5.8","95.2","0.6","0.0","0.0","0.0","0.1","21.8"
"Casey Washington","ATLhigh","10.6","128.0","1.0","0.0","0.0","0.0","0.0","29.3"
"","high","11.2","128.9","1.0","0.0","0.0","0.0","0.0","39.3"
"","low","10.0","127.0","1.0","0.0","0.0","0.0","0.1","29.3"
"Marcus Rosemy-Jacksaint","WAShigh","10.0","126.0","1.0","0.0","6.0","0.0","0.0","29.2"
"","high","10.0","126.0","1.0","0.0","6.0","0.0","0.0","39.2"
"","low","10.0","126.0","1.0","0.0","6.0","0.0","0.0","39.2"
"Tejhaun Palmer","ARIhigh","11.0","122.0","1.0","0.0","0.0","0.0","0.0","29.2"
"","high","11.0","122.0","1.0","0.0","0.0","0.0","0.0","40.2"
"","low","11.0","122.0","1.0","0.0","0.0","0.0","0.0","40.2"
"Jordan Whittington","LARhigh","10.8","129.6","0.9","0.0","0.0","0.0","0.0","29.0"
"","high","11.0","131.2","1.0","0.0","0.0","0.0","0.0","40.6"
"","low","10.7","128.0","0.8","0.0","0.0","0.0","0.1","28.5"
"Nikko Remigio","KChigh","10.0","130.0","1.0","0.0","0.0","0.0","0.0","29.0"
"","high","10.0","130.0","1.0","0.0","0.0","0.0","0.0","39.0"
"","low","10.0","130.0","1.0","0.0","0.0","0.0","0.0","39.0"
"Parris Campbell","PHIhigh","12.1","123.9","0.8","0.0","1.7","0.0","0.1","29.0"
"","high","17.1","168.9","1.0","0.0","5.0","0.0","0.0","47.8"
"","low","5.2","50.6","0.3","0.0","0.0","0.0","0.2","19.0"
"Devaughn Vele","DENhigh","10.0","123.0","1.0","0.0","0.0","0.0","0.0","28.3"
"","high","10.0","123.0","1.0","0.0","0.0","0.0","0.0","38.3"
"","low","10.0","123.0","1.0","0.0","0.0","0.0","0.0","38.3"
"Russell Gage","BALhigh","10.0","114.0","1.0","0.0","3.0","0.0","0.0","27.7"
"","high","10.0","114.0","1.0","0.0","3.0","0.0","0.0","37.7"
"","low","10.0","114.0","1.0","0.0","3.0","0.0","0.0","37.7"
"Tyler Scott","CHIhigh","9.5","107.8","0.9","2.1","18.2","0.1","0.0","27.4"
"","high","22.0","249.0","2.0","4.2","29.0","0.2","0.0","71.3"
"","low","1.7","19.6","0.2","0.0","0.0","0.0","0.1","12.2"
"Jalen Brooks","DALhigh","10.9","99.6","0.7","0.0","0.0","0.0","0.0","25.2"
"","high","20.0","147.0","1.0","0.0","0.0","0.0","0.0","51.6"
"","low","5.6","64.6","0.5","0.0","0.0","0.0","0.1","20.2"
"Donovan Peoples-Jones","DEThigh","8.8","120.0","0.7","0.0","1.3","0.0","0.0","24.9"
"","high","13.0","181.0","1.0","0.0","4.0","0.0","0.0","46.3"
"","low","5.3","74.1","0.5","0.0","0.0","0.0","0.1","18.7"
"Trent Sherfield Sr.","MINhigh","9.3","114.6","0.7","0.0","1.3","0.0","0.0","24.7"
"","high","13.0","167.0","1.0","0.0","4.0","0.0","0.0","45.4"
"","low","5.5","71.4","0.4","0.0","0.0","0.0","0.1","18.8"
"Ainias Smith","PHIhigh","8.7","108.4","0.7","0.0","3.0","0.0","0.0","24.3"
"","high","11.0","141.0","1.0","0.0","6.0","0.0","0.0","40.4"
"","low","6.5","75.7","0.5","0.0","0.0","0.0","0.0","19.5"
"Brenden Rice","LAChigh","8.9","106.8","0.7","0.0","2.0","0.0","0.0","24.2"
"","high","11.0","138.0","1.0","0.0","4.0","0.0","0.0","40.1"
"","low","6.8","75.6","0.5","0.0","0.0","0.0","0.0","19.9"
"Skyy Moore","KChigh","8.7","101.4","0.8","0.0","3.0","0.0","0.1","23.7"
"","high","12.0","129.0","1.0","0.0","9.0","0.0","0.0","40.5"
"","low","4.4","52.4","0.4","0.0","0.0","0.0","0.1","15.8"
"Isaiah Hodgins","NYGhigh","8.7","108.9","0.6","0.0","2.0","0.0","0.0","23.3"
"","high","14.0","183.0","1.0","0.0","4.0","0.0","0.0","47.4"
"","low","3.4","34.8","0.2","0.0","0.0","0.0","0.0","13.3"
"D.J. Montgomery","INDhigh","8.8","105.3","0.6","0.0","3.0","0.0","0.0","23.1"
"","high","16.0","192.0","1.0","0.0","6.0","0.0","0.0","50.6"
"","low","1.5","18.7","0.2","0.0","0.0","0.0","0.0","11.4"
"Danny Gray","SFhigh","7.0","94.0","1.0","0.0","4.0","0.0","0.0","22.8"
"","high","7.0","94.0","1.0","0.0","4.0","0.0","0.0","29.8"
"","low","7.0","94.0","1.0","0.0","4.0","0.0","0.0","29.8"
"Derius Davis","LAChigh","7.0","81.1","0.6","6.7","38.6","0.1","0.1","22.8"
"","high","12.0","151.0","1.0","13.4","85.8","0.3","0.0","49.1"
"","low","1.8","19.3","0.2","0.0","0.0","0.0","0.2","9.6"
"Nick Westbrook-Ikhine","TENhigh","8.1","108.0","0.6","0.0","1.3","0.0","0.0","22.6"
"","high","13.0","180.0","1.0","0.0","4.0","0.0","0.0","45.5"
"","low","3.0","42.1","0.2","0.0","0.0","0.0","0.1","13.6"
"Mecole Hardman Jr.","KChigh","7.6","96.4","0.7","0.0","13.0","0.0","0.0","22.6"
"","high","11.0","144.0","1.0","0.0","26.0","0.0","0.0","41.6"
"","low","4.1","48.9","0.4","0.0","0.0","0.0","0.0","14.4"
"Allen Robinson II","NYGhigh","9.0","89.0","0.7","0.0","2.0","0.0","0.0","22.2"
"","high","11.0","113.0","1.0","0.0","4.0","0.0","0.0","37.7"
"","low","7.1","64.9","0.4","0.0","0.0","0.0","0.0","17.6"
"Xavier Hutchinson","HOUhigh","7.9","98.5","0.6","0.0","9.5","0.0","0.0","22.2"
"","high","14.0","175.0","1.0","0.0","19.0","0.0","0.0","47.3"
"","low","1.7","22.0","0.2","0.0","0.0","0.0","0.0","10.9"
"Chris Moore","ARIhigh","7.8","96.5","0.6","0.0","5.0","0.0","0.0","21.7"
"","high","11.0","138.0","1.0","0.0","10.0","0.0","0.0","39.6"
"","low","4.6","55.0","0.3","0.0","0.0","0.0","0.0","14.9"
"Rakim Jarrett","TBhigh","7.8","97.3","0.6","0.0","5.0","0.0","0.0","21.6"
"","high","14.0","175.0","1.0","0.0","10.0","0.0","0.0","46.3"
"","low","1.7","19.6","0.2","0.0","0.0","0.0","0.0","10.6"
"Robbie Chosen","SFhigh","7.6","89.5","0.8","0.0","2.0","0.0","0.0","21.5"
"","high","9.0","111.0","1.0","0.0","4.0","0.0","0.0","34.1"
"","low","6.2","68.0","0.6","0.0","0.0","0.0","0.0","17.9"
"Isaiah McKenzie","NYGhigh","9.0","80.0","0.5","1.9","10.1","0.1","0.1","21.4"
"","high","12.4","107.0","1.0","3.8","20.3","0.2","0.0","37.7"
"","low","3.6","32.7","0.2","0.0","0.0","0.0","0.2","13.2"
"David Moore","CARhigh","7.5","100.5","0.6","0.0","1.7","0.0","0.1","21.2"
"","high","10.5","135.0","1.0","0.0","5.0","0.0","0.0","36.5"
"","low","3.1","44.4","0.2","0.0","0.0","0.0","0.1","13.1"
"Robert Woods","HOUhigh","8.3","86.8","0.6","0.0","2.0","0.0","0.0","20.9"
"","high","13.0","133.0","1.0","0.0","4.0","0.0","0.0","41.0"
"","low","3.6","40.5","0.2","0.0","0.0","0.0","0.0","13.8"
"Devin Duvernay","JAChigh","8.1","82.6","0.4","3.3","16.9","0.1","0.1","20.8"
"","high","11.7","111.2","0.7","4.5","25.7","0.2","0.0","28.6"
"","low","5.0","64.0","0.0","2.0","12.0","0.0","0.1","20.7"
"Anthony Gould","INDhigh","7.6","89.5","0.7","0.0","0.0","0.0","0.0","20.5"
"","high","9.0","109.0","1.0","0.0","0.0","0.0","0.0","33.5"
"","low","6.2","69.9","0.3","0.0","0.0","0.0","0.0","19.1"
"Ihmir Smith-Marsette","CARhigh","8.6","67.0","0.4","2.1","18.1","0.1","0.0","20.1"
"","high","21.0","144.0","1.0","4.2","28.2","0.3","0.0","52.6"
"","low","1.6","19.6","0.1","0.0","0.0","0.0","0.1","11.1"
"Charlie Jones","CINhigh","7.4","90.0","0.6","0.0","1.7","0.0","0.0","20.1"
"","high","13.0","167.0","1.0","0.0","5.0","0.0","0.0","43.6"
"","low","3.8","41.3","0.3","0.0","0.0","0.0","0.0","15.3"
"Braxton Berrios","MIAhigh","8.2","79.5","0.5","0.0","2.7","0.0","0.0","19.4"
"","high","15.0","149.0","1.0","0.0","8.0","0.0","0.0","50.9"
"","low","3.9","35.6","0.2","0.0","0.0","0.0","0.1","13.1"
"Chris Blair","ATLhigh","7.2","82.2","0.6","0.0","0.0","0.0","0.1","19.0"
"","high","7.2","82.2","0.6","0.0","0.0","0.0","0.1","19.1"
"","low","7.2","82.2","0.6","0.0","0.0","0.0","0.1","19.1"
"John Metchie III","HOUhigh","6.9","81.6","0.5","0.0","2.7","0.0","0.0","18.5"
"","high","14.0","162.0","1.0","0.0","8.0","0.0","0.0","43.9"
"","low","1.7","21.8","0.2","0.0","0.0","0.0","0.1","9.9"
"Nsimba Webster","CHIhigh","6.9","80.7","0.6","0.0","0.0","0.0","0.0","18.4"
"","high","6.9","80.7","0.6","0.0","0.0","0.0","0.0","18.0"
"","low","6.9","80.7","0.6","0.0","0.0","0.0","0.0","18.0"
"Justyn Ross","KChigh","6.1","77.1","0.7","0.0","0.0","0.0","0.0","18.0"
"","high","8.0","103.0","1.0","0.0","0.0","0.0","0.0","30.4"
"","low","4.2","51.2","0.4","0.0","0.0","0.0","0.0","13.3"
"Jason Brownlee","NYJhigh","6.3","78.6","0.6","0.0","1.5","0.0","0.0","17.9"
"","high","11.0","138.0","1.0","0.0","3.0","0.0","0.0","37.4"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","9.0"
"Jalen Guyton","LVhigh","6.0","79.9","0.6","0.0","2.0","0.0","0.0","17.7"
"","high","9.0","119.0","1.0","0.0","4.0","0.0","0.0","33.3"
"","low","2.9","40.9","0.2","0.0","0.0","0.0","0.0","11.3"
"Ronnie Bell","SFhigh","6.3","76.0","0.6","0.0","2.0","0.0","0.0","17.6"
"","high","11.0","134.0","1.0","0.0","4.0","0.0","0.0","37.1"
"","low","1.6","18.1","0.2","0.0","0.0","0.0","0.0","9.0"
"Kayshon Boutte","NEhigh","6.3","78.6","0.5","0.0","2.5","0.0","0.0","17.6"
"","high","11.0","138.0","1.0","0.0","5.0","0.0","0.0","37.6"
"","low","1.5","19.2","0.1","0.0","0.0","0.0","0.0","8.7"
"Zach Pascal","ARIhigh","5.9","74.8","0.6","0.0","2.0","0.0","0.0","17.3"
"","high","9.0","119.0","1.0","0.0","4.0","0.0","0.0","33.2"
"","low","2.8","30.5","0.2","0.0","0.0","0.0","0.0","10.1"
"Sterling Shepard","TBhigh","7.0","71.3","0.5","0.0","0.0","0.0","0.1","17.3"
"","high","8.8","92.8","0.6","0.0","0.0","0.0","0.1","20.0"
"","low","5.2","49.7","0.5","0.0","0.0","0.0","0.1","14.7"
"Deonte Harty","BALhigh","5.9","72.2","0.6","0.0","5.0","0.0","0.0","17.1"
"","high","8.0","95.0","1.0","0.0","15.0","0.0","0.0","30.9"
"","low","3.2","37.3","0.2","0.0","0.0","0.0","0.0","12.8"
"Ashton Dulin","INDhigh","6.1","70.4","0.6","0.0","2.0","0.0","0.0","17.1"
"","high","9.0","102.0","1.0","0.0","4.0","0.0","0.0","31.7"
"","low","3.2","38.9","0.2","0.0","0.0","0.0","0.0","11.5"
"KJ Hamler","BUFhigh","5.4","74.1","0.6","0.0","2.5","0.0","0.0","16.5"
"","high","9.0","125.0","1.0","0.0","5.0","0.0","0.0","33.4"
"","low","1.7","23.3","0.2","0.0","0.0","0.0","0.0","8.7"
"Laviska Shenault Jr.","SEAhigh","5.8","61.5","0.2","3.2","28.9","0.1","0.1","16.5"
"","high","7.7","77.1","0.4","4.2","52.0","0.2","0.0","23.9"
"","low","3.8","38.3","0.0","2.2","12.3","0.0","0.1","12.9"
"Jalen Reagor","NEhigh","5.5","71.4","0.6","0.0","2.0","0.0","0.0","16.3"
"","high","8.0","106.0","1.0","0.0","4.0","0.0","0.0","30.5"
"","low","3.0","36.8","0.2","0.0","0.0","0.0","0.0","10.0"
"Kyle Philips","TENhigh","6.6","78.0","0.3","0.0","0.5","0.0","0.0","16.3"
"","high","9.2","116.0","0.6","0.0","1.0","0.0","0.0","21.6"
"","low","4.0","40.0","0.0","0.0","0.0","0.0","0.0","14.7"
"Bo Melton","GBhigh","5.9","68.8","0.5","1.0","6.3","0.0","0.1","16.3"
"","high","9.9","115.5","0.8","2.1","12.7","0.1","0.1","23.8"
"","low","1.8","22.1","0.2","0.0","0.0","0.0","0.1","9.0"
"Michael Woods II","CLEhigh","5.3","68.9","0.6","0.0","2.0","0.0","0.0","15.9"
"","high","9.0","119.0","1.0","0.0","4.0","0.0","0.0","32.6"
"","low","1.6","18.7","0.2","0.0","0.0","0.0","0.0","7.8"
"Ben Skowronek","HOUhigh","5.4","65.9","0.6","0.0","2.0","0.0","0.0","15.7"
"","high","9.0","111.0","1.0","0.0","4.0","0.0","0.0","31.9"
"","low","1.8","20.8","0.2","0.0","0.0","0.0","0.0","8.3"
"Malik Heath","GBhigh","5.4","64.6","0.6","0.0","1.5","0.0","0.0","15.6"
"","high","9.0","108.0","1.0","0.0","3.0","0.0","0.0","31.5"
"","low","1.9","21.3","0.2","0.0","0.0","0.0","0.0","8.4"
"Chris Conley","SFhigh","5.3","65.0","0.6","0.0","2.0","0.0","0.0","15.5"
"","high","9.0","111.0","1.0","0.0","4.0","0.0","0.0","31.8"
"","low","1.5","19.1","0.2","0.0","0.0","0.0","0.0","8.1"
"Dee Eskridge","SEAhigh","5.3","64.8","0.3","4.3","15.4","0.1","0.0","15.5"
"","high","6.7","73.6","0.5","4.3","24.9","0.2","0.0","19.2"
"","low","4.0","56.0","0.0","4.3","6.0","0.0","0.0","15.5"
"Tim Jones","JAChigh","4.9","57.0","0.6","0.0","2.0","0.0","0.0","14.3"
"","high","8.0","95.0","1.0","0.0","4.0","0.0","0.0","28.8"
"","low","1.8","18.9","0.2","0.0","0.0","0.0","0.0","7.6"
"Scotty Miller","PIThigh","5.6","69.5","0.3","0.0","1.3","0.0","0.0","14.2"
"","high","6.1","75.5","0.5","0.0","4.0","0.0","0.0","17.4"
"","low","5.0","64.0","0.0","0.0","0.0","0.0","0.1","15.0"
"Equanimeous St. Brown","NOhigh","4.3","56.8","0.6","0.0","2.0","0.0","0.0","13.7"
"","high","7.0","91.0","1.0","0.0","4.0","0.0","0.0","26.8"
"","low","1.7","22.5","0.2","0.0","0.0","0.0","0.0","7.3"
"River Cracraft","MIAhigh","6.9","51.6","0.1","0.0","0.0","0.0","0.0","12.7"
"","high","10.0","61.0","0.2","0.0","0.0","0.0","0.0","23.0"
"","low","3.7","42.2","0.0","0.0","0.0","0.0","0.0","12.5"
"Tre'Quan Smith","DEThigh","6.4","49.2","0.1","0.0","0.0","0.0","0.0","11.9"
"","high","11.0","74.0","0.2","0.0","0.0","0.0","0.0","24.8"
"","low","1.9","24.4","0.0","0.0","0.0","0.0","0.0","9.9"
"Terrace Marshall Jr.","CARhigh","4.9","61.1","0.1","0.0","2.0","0.0","0.0","11.9"
"","high","5.0","64.0","0.2","0.0","4.0","0.0","0.0","16.7"
"","low","4.8","58.3","0.0","0.0","0.0","0.0","0.0","12.0"
"Tylan Wallace","BALhigh","4.0","50.7","0.1","0.0","2.0","0.0","0.0","9.9"
"","high","5.0","64.0","0.2","0.0","4.0","0.0","0.0","15.8"
"","low","2.9","37.4","0.0","0.0","0.0","0.0","0.0","9.2"
"Andre Baccellia","ARIhigh","3.8","41.7","0.3","0.0","0.0","0.0","0.0","9.7"
"","high","3.8","41.7","0.3","0.0","0.0","0.0","0.0","9.4"
"","low","3.8","41.7","0.3","0.0","0.0","0.0","0.0","9.4"
"Racey McMath","DALhigh","3.4","42.4","0.3","0.0","0.0","0.0","0.0","9.7"
"","high","3.4","42.4","0.3","0.0","0.0","0.0","0.0","9.7"
"","low","3.4","42.4","0.3","0.0","0.0","0.0","0.0","9.7"
"Tyler Johnson","LARhigh","3.4","40.3","0.3","0.0","0.0","0.0","0.0","9.4"
"","high","3.4","40.3","0.3","0.0","0.0","0.0","0.0","9.2"
"","low","3.4","40.3","0.3","0.0","0.0","0.0","0.0","9.2"
"Dareke Young","SEAhigh","3.4","39.8","0.3","0.0","0.0","0.0","0.0","8.9"
"","high","3.4","39.8","0.3","0.0","0.0","0.0","0.0","8.9"
"","low","3.4","39.8","0.3","0.0","0.0","0.0","0.0","8.9"
"Easop Winston Jr.","SEAhigh","3.4","39.5","0.3","0.0","0.0","0.0","0.0","8.9"
"","high","3.4","39.5","0.3","0.0","0.0","0.0","0.0","8.9"
"","low","3.4","39.5","0.3","0.0","0.0","0.0","0.0","8.9"
"DJ Turner","LVhigh","3.3","37.4","0.2","0.0","0.0","0.0","0.1","8.1"
"","high","5.1","57.2","0.2","0.0","0.0","0.0","0.1","10.3"
"","low","1.5","17.6","0.2","0.0","0.0","0.0","0.1","5.7"
"Jaelon Darden","CLEhigh","3.2","37.2","0.2","0.0","0.0","0.0","0.0","8.1"
"","high","3.2","37.2","0.2","0.0","0.0","0.0","0.0","8.3"
"","low","3.2","37.2","0.2","0.0","0.0","0.0","0.0","8.3"
"Jha'Quan Jackson","TENhigh","4.0","41.0","0.0","0.0","0.0","0.0","0.0","8.1"
"","high","4.0","41.0","0.0","0.0","0.0","0.0","0.0","12.1"
"","low","4.0","41.0","0.0","0.0","0.0","0.0","0.0","12.1"
"Britain Covey","PHIhigh","3.6","38.9","0.1","0.0","0.0","0.0","0.0","8.1"
"","high","4.0","41.0","0.2","0.0","0.0","0.0","0.0","11.7"
"","low","3.2","36.8","0.0","0.0","0.0","0.0","0.0","8.6"
"James Proche II","CLEhigh","3.2","37.0","0.2","0.0","0.0","0.0","0.0","8.0"
"","high","3.2","37.0","0.2","0.0","0.0","0.0","0.0","8.2"
"","low","3.2","37.0","0.2","0.0","0.0","0.0","0.0","8.2"
"Miles Boykin","NYGhigh","3.3","36.2","0.2","0.0","0.0","0.0","0.0","7.9"
"","high","3.3","36.2","0.2","0.0","0.0","0.0","0.0","8.0"
"","low","3.3","36.2","0.2","0.0","0.0","0.0","0.0","8.0"
"Phillip Dorsett II","DENhigh","2.9","31.8","0.2","0.0","0.0","0.0","0.0","7.0"
"","high","2.9","31.8","0.2","0.0","0.0","0.0","0.0","7.2"
"","low","2.9","31.8","0.2","0.0","0.0","0.0","0.0","7.2"
"Trishton Jackson","MINhigh","2.5","27.7","0.2","0.0","0.0","0.0","0.0","6.5"
"","high","2.5","27.7","0.2","0.0","0.0","0.0","0.0","6.2"
"","low","2.5","27.7","0.2","0.0","0.0","0.0","0.0","6.2"
"N'Keal Harry","MINhigh","2.0","22.3","0.2","0.0","0.0","0.0","0.0","5.3"
"","high","2.0","22.3","0.2","0.0","0.0","0.0","0.0","5.1"
"","low","2.0","22.3","0.2","0.0","0.0","0.0","0.0","5.1"
"Byron Pringle","WAShigh","2.4","20.3","0.1","0.0","1.0","0.0","0.0","5.2"
"","high","3.0","35.0","0.2","0.0","2.0","0.0","0.0","9.1"
"","low","1.7","5.6","0.0","0.0","0.0","0.0","0.0","4.5"
"Velus Jones Jr.","CHIhigh","1.9","25.0","0.1","0.0","3.0","0.0","0.0","5.2"
"","high","2.0","30.0","0.2","0.0","6.0","0.0","0.0","7.5"
"","low","1.7","20.0","0.0","0.0","0.0","0.0","0.0","4.7"
"Andy Isabella","BUFhigh","1.8","23.0","0.2","0.0","0.0","0.0","0.0","5.1"
"","high","1.8","23.0","0.2","0.0","0.0","0.0","0.0","5.1"
