"Player","Team","REC","YDS","TDS","FL","FPTS"
"Ja'Tavion Sanders","CARhigh","29.9","311.6","2.3","0.4","74.1"
"","high","38.0","355.0","3.0","0.0","115.4"
"","low","19.5","198.4","1.2","1.0","56.8"
"Michael Mayer","LVhigh","30.0","320.7","2.0","0.1","74.0"
"","high","38.0","438.0","3.0","0.0","97.7"
"","low","26.0","257.0","1.4","0.2","65.9"
"Gerald Everett","CHIhigh","29.8","275.4","2.2","0.1","70.5"
"","high","44.0","403.0","4.0","0.0","92.2"
"","low","19.6","181.1","1.0","0.2","56.5"
"Tommy Tremble","CARhigh","27.5","261.8","2.5","0.1","68.3"
"","high","35.8","334.2","5.0","0.0","72.5"
"","low","16.0","170.0","1.0","0.2","66.5"
"Theo Johnson","NYGhigh","28.3","273.2","1.8","0.6","65.2"
"","high","39.0","370.0","2.0","0.2","67.3"
"","low","22.0","217.0","1.4","1.0","59.6"
"Jelani Woods","INDhigh","22.7","263.7","1.8","0.1","59.5"
"","high","32.1","355.0","2.3","0.0","89.9"
"","low","7.3","73.4","0.5","0.2","33.1"
"Kylen Granson","INDhigh","23.8","258.0","1.5","0.0","58.6"
"","high","36.4","368.5","2.4","0.0","74.9"
"","low","17.0","173.0","1.0","0.1","47.5"
"Noah Gray","KChigh","22.6","237.3","1.7","0.1","56.6"
"","high","28.5","301.0","2.3","0.0","84.2"
"","low","4.5","45.2","0.4","0.2","29.2"
"Will Dissly","LAChigh","23.5","226.1","1.5","0.1","55.0"
"","high","34.5","350.6","2.1","0.0","70.9"
"","low","10.0","102.0","1.0","0.2","36.5"
"Robert Tonyan","MINhigh","20.1","189.7","1.4","0.0","47.3"
"","high","33.4","302.0","2.1","0.0","62.9"
"","low","12.0","114.0","1.0","0.0","30.1"
"Durham Smythe","MIAhigh","19.5","190.0","1.3","0.0","46.1"
"","high","37.0","385.0","2.0","0.0","69.7"
"","low","4.3","40.0","0.2","0.1","25.0"
"Tanner Hudson","CINhigh","18.6","179.4","1.4","0.0","45.1"
"","high","25.0","245.0","2.0","0.0","74.7"
"","low","12.0","113.0","0.6","0.1","28.6"
"Brevin Jordan","HOUhigh","14.7","188.1","1.9","0.0","44.7"
"","high","26.0","401.0","5.0","0.0","76.7"
"","low","8.2","86.4","0.6","0.1","26.9"
"Donald Parham Jr.","LAChigh","15.2","158.7","2.1","0.0","43.6"
"","high","28.0","293.0","5.0","0.0","66.2"
"","low","3.5","35.7","0.4","0.0","21.3"
"Austin Hooper","NEhigh","19.5","184.6","0.9","0.0","43.5"
"","high","29.0","263.0","1.1","0.0","50.1"
"","low","11.0","109.0","0.6","0.1","35.7"
"Adam Trautman","DENhigh","17.0","166.8","1.5","0.0","42.9"
"","high","24.0","232.0","3.0","0.0","50.0"
"","low","12.3","115.6","0.7","0.1","32.9"
"Jaheim Bell","NEhigh","16.5","172.0","1.5","0.0","42.7"
"","high","23.0","253.0","2.0","0.0","76.8"
"","low","10.0","91.0","1.0","0.0","26.5"
"Mo Alie-Cox","INDhigh","13.8","155.5","1.8","0.0","40.3"
"","high","29.0","303.0","5.0","0.0","56.8"
"","low","6.8","80.2","0.6","0.1","25.1"
"Elijah Higgins","ARIhigh","16.3","177.8","1.0","0.0","39.9"
"","high","31.0","373.0","2.0","0.0","57.3"
"","low","3.6","33.4","0.2","0.1","20.8"
"Brock Wright","DEThigh","15.7","149.5","1.5","0.1","39.7"
"","high","27.0","251.0","3.0","0.0","49.7"
"","low","4.1","42.2","0.3","0.1","21.9"
"Jeremy Ruckert","NYJhigh","16.2","161.3","1.2","0.1","39.4"
"","high","26.0","257.0","2.0","0.0","59.1"
"","low","1.9","18.0","0.2","0.2","18.8"
"Josh Oliver","MINhigh","16.1","157.0","1.2","0.4","38.3"
"","high","26.0","243.0","2.0","0.0","44.7"
"","low","9.0","82.2","0.5","1.0","27.5"
"Johnny Mundt","MINhigh","16.8","161.0","0.8","0.0","37.8"
"","high","26.0","246.0","1.1","0.0","57.3"
"","low","3.4","30.3","0.2","0.1","20.9"
"Connor Heyward","PIThigh","15.3","137.6","0.7","0.0","33.4"
"","high","24.0","206.2","1.4","0.0","44.5"
"","low","3.4","31.0","0.0","0.1","19.9"
"Davis Allen","LARhigh","13.1","134.4","1.0","0.0","32.6"
"","high","15.3","158.1","1.2","0.0","45.3"
"","low","11.0","115.0","0.8","0.1","23.1"
"Foster Moreau","NOhigh","12.5","139.2","1.0","0.0","32.5"
"","high","15.9","182.1","1.3","0.0","41.1"
"","low","11.0","116.0","0.9","0.1","23.5"
"Devin Culp","TBhigh","13.0","135.0","1.0","0.0","32.5"
"","high","13.0","135.0","1.0","0.0","45.5"
"","low","13.0","135.0","1.0","0.0","45.5"
"Josh Whyle","TENhigh","12.5","127.9","1.1","0.0","31.6"
"","high","23.0","236.0","2.0","0.0","71.1"
"","low","1.8","18.2","0.2","0.1","14.9"
"Will Mallory","INDhigh","12.3","131.0","0.9","0.0","30.9"
"","high","16.0","169.0","1.0","0.0","51.2"
"","low","10.0","108.1","0.8","0.0","22.3"
"Jack Stoll","NYGhigh","13.1","122.1","0.9","0.0","30.8"
"","high","17.3","149.1","1.0","0.0","37.6"
"","low","9.0","95.0","0.8","0.0","32.9"
"Pharaoh Brown","SEAhigh","12.0","132.0","0.9","0.0","30.7"
"","high","17.8","179.5","1.2","0.0","36.8"
"","low","7.0","73.0","0.6","0.1","24.0"
"Dallin Holker","NOhigh","12.0","123.5","1.0","0.0","30.4"
"","high","13.0","135.0","1.0","0.0","44.5"
"","low","11.0","112.0","1.0","0.0","22.0"
"Tanner McLachlan","CINhigh","12.0","123.0","1.0","0.0","30.3"
"","high","12.0","123.0","1.0","0.0","42.3"
"","low","12.0","123.0","1.0","0.0","23.0"
"Trey Knox","MINhigh","12.0","119.0","1.0","0.0","29.9"
"","high","12.0","119.0","1.0","0.0","23.0"
"","low","12.0","119.0","1.0","0.0","23.0"
"Peyton Hendershot","DALhigh","11.9","119.2","1.0","0.0","29.8"
"","high","14.3","142.0","1.3","0.0","44.0"
"","low","8.3","84.8","0.8","0.1","24.9"
"Ian Thomas","CARhigh","12.6","128.8","0.6","0.0","28.8"
"","high","21.0","209.0","1.0","0.0","33.2"
"","low","6.0","66.0","0.0","0.1","23.5"
"AJ Barner","SEAhigh","11.6","118.8","0.9","0.0","28.8"
"","high","14.0","150.0","1.0","0.0","46.6"
"","low","9.8","97.5","0.7","0.1","21.6"
"Darnell Washington","PIThigh","12.0","119.7","0.8","0.0","28.7"
"","high","15.0","153.0","1.0","0.0","48.3"
"","low","6.8","63.3","0.5","0.1","21.2"
"Luke Schoonmaker","DALhigh","10.8","111.0","1.1","0.0","28.3"
"","high","12.2","125.7","1.1","0.0","33.5"
"","low","8.0","87.0","1.0","0.1","29.4"
"Brayden Willis","SFhigh","10.0","121.0","1.0","0.0","28.1"
"","high","10.0","121.0","1.0","0.0","21.0"
"","low","10.0","121.0","1.0","0.0","21.0"
"Irv Smith Jr.","KChigh","11.4","102.9","1.0","0.0","27.5"
"","high","13.4","119.3","1.1","0.0","40.0"
"","low","8.0","72.3","0.9","0.1","21.4"
"Travis Vokolek","ARIhigh","11.0","102.0","1.0","0.0","27.2"
"","high","11.0","102.0","1.0","0.0","21.0"
"","low","11.0","102.0","1.0","0.0","21.0"
"Jordan Akins","CLEhigh","10.4","103.8","0.9","0.0","26.0"
"","high","15.3","149.0","1.0","0.0","32.4"
"","low","7.5","75.3","0.5","0.1","20.4"
"Eric Saubert","SFhigh","10.0","99.0","1.0","0.0","25.9"
"","high","10.0","99.0","1.0","0.0","20.0"
"","low","10.0","99.0","1.0","0.0","20.0"
"Stone Smartt","LAChigh","9.5","108.9","0.8","0.0","25.4"
"","high","11.0","157.0","1.0","0.0","32.2"
"","low","8.0","78.5","0.5","0.1","20.3"
"Erick All Jr.","CINhigh","10.3","103.3","0.8","0.0","25.4"
"","high","12.0","123.0","1.0","0.0","22.2"
"","low","8.6","83.7","0.6","0.1","21.3"
"Drew Ogletree","INDhigh","10.1","107.0","0.8","0.1","25.3"
"","high","10.1","107.0","0.8","0.1","25.4"
"","low","10.1","107.0","0.8","0.1","25.4"
"Cade Stover","HOUhigh","9.9","105.7","0.8","0.0","25.1"
"","high","15.0","159.0","1.0","0.0","46.8"
"","low","3.8","38.2","0.3","0.0","15.6"
"La'Michael Pettway","NEhigh","10.0","91.0","1.0","0.0","25.1"
"","high","10.0","91.0","1.0","0.0","20.0"
"","low","10.0","91.0","1.0","0.0","20.0"
"Brenton Strange","JAChigh","9.7","92.0","1.0","0.0","24.9"
"","high","13.0","131.0","2.0","0.0","41.8"
"","low","2.0","18.1","0.2","0.1","12.3"
"Tip Reiman","ARIhigh","10.2","99.2","0.8","0.0","24.9"
"","high","12.0","121.0","1.0","0.0","40.3"
"","low","7.6","74.5","0.4","0.1","20.1"
"Jared Wiley","KChigh","9.6","98.5","0.8","0.0","24.2"
"","high","13.0","128.0","1.0","0.0","40.4"
"","low","3.9","39.5","0.4","0.0","15.8"
"Lucas Krull","DENhigh","9.6","101.4","0.7","0.0","24.0"
"","high","15.0","160.0","1.0","0.0","46.6"
