"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan Mims","NOhigh","14.6","60.8","0.6","3.5","25.3","0.1","0.0","16.1"
"","high","32.0","117.0","1.0","6.0","43.8","0.3","0.0","22.0"
"","low","2.4","9.6","0.0","2.1","14.3","0.0","0.1","6.8"
"Carlos Washington Jr.","ATLhigh","0.0","37.0","1.0","4.0","22.0","0.0","0.0","15.9"
"","high","0.0","37.0","1.0","4.0","22.0","0.0","0.0","19.9"
"","low","0.0","37.0","1.0","4.0","22.0","0.0","0.0","19.9"
"Alec Ingold","MIAhigh","1.1","4.4","0.0","7.6","55.5","0.3","0.1","15.4"
"","high","2.2","8.8","0.0","13.0","95.1","0.5","0.1","19.8"
"","low","0.0","0.0","0.0","2.2","15.9","0.2","0.1","11.0"
"Cody Schrader","LARhigh","31.0","77.0","0.5","2.0","14.0","0.0","0.0","14.1"
"","high","31.0","131.0","1.0","3.0","26.0","0.0","0.0","14.0"
"","low","31.0","23.0","0.0","1.0","2.0","0.0","0.0","5.5"
"Raheem Blackshear","CARhigh","7.2","38.6","0.2","4.7","34.6","0.0","0.0","13.1"
"","high","12.1","55.0","0.5","9.0","68.0","0.1","0.0","26.0"
"","low","2.2","8.9","0.0","2.4","17.7","0.0","0.1","8.0"
"Boston Scott","PIThigh","2.6","54.8","0.5","2.4","17.5","0.1","0.0","13.1"
"","high","2.6","99.0","1.0","3.0","22.0","0.1","0.0","23.5"
"","low","2.6","10.5","0.0","1.8","13.1","0.0","0.0","5.7"
"Avery Williams","ATLhigh","7.6","35.0","0.4","3.9","23.2","0.1","0.0","13.0"
"","high","14.0","68.0","1.0","5.0","29.4","0.2","0.0","13.9"
"","low","4.1","17.7","0.2","2.2","15.1","0.0","0.0","8.7"
"Israel Abanikanda","NYJhigh","14.9","57.4","0.3","2.7","19.0","0.1","0.1","12.8"
"","high","25.0","107.2","0.8","4.1","29.1","0.2","0.0","22.2"
"","low","4.8","19.1","0.0","2.0","13.9","0.0","0.1","7.1"
"Sione Vaki","DEThigh","12.6","60.0","0.2","2.5","18.7","0.0","0.0","11.8"
"","high","12.6","67.0","0.4","3.0","23.0","0.1","0.0","14.5"
"","low","12.6","52.9","0.0","2.0","14.5","0.0","0.1","12.5"
"Malik Davis","DALhigh","0.0","55.0","0.0","3.0","23.0","0.0","0.0","10.8"
"","high","0.0","55.0","0.0","3.0","23.0","0.0","0.0","13.8"
"","low","0.0","55.0","0.0","3.0","23.0","0.0","0.0","13.8"
"Hassan Haskins","LAChigh","9.5","42.1","0.1","2.7","17.4","0.1","0.0","9.8"
"","high","16.7","71.2","0.4","4.1","26.9","0.1","0.0","15.4"
"","low","2.3","9.3","0.0","2.0","11.0","0.0","0.1","5.9"
"Nyheim Hines","CLEhigh","1.3","17.1","0.0","4.5","32.3","0.0","0.0","9.6"
"","high","1.3","29.0","0.0","8.0","57.0","0.1","0.0","21.1"
"","low","1.3","5.2","0.0","1.1","7.7","0.0","0.0","6.3"
"Reggie Gilliam","BUFhigh","0.0","0.0","0.0","4.4","33.2","0.3","0.0","9.3"
"","high","0.0","0.0","0.0","4.4","33.2","0.3","0.0","9.3"
"","low","0.0","0.0","0.0","4.4","33.2","0.3","0.0","9.3"
"Travis Homer","CHIhigh","2.3","32.3","0.0","3.1","22.1","0.1","0.0","9.0"
"","high","2.3","55.0","0.0","4.0","28.0","0.2","0.0","15.4"
"","low","2.3","9.6","0.0","2.1","16.3","0.0","0.0","6.6"
"DeeJay Dallas","ARIhigh","2.5","28.0","0.0","3.5","24.0","0.0","0.0","8.7"
"","high","2.5","46.0","0.0","5.0","36.0","0.0","0.0","16.7"
"","low","2.5","10.0","0.0","2.0","12.1","0.0","0.0","6.4"
"Emani Bailey","KChigh","0.0","47.0","0.0","2.0","18.0","0.0","0.0","8.5"
"","high","0.0","47.0","0.0","2.0","18.0","0.0","0.0","10.5"
"","low","0.0","47.0","0.0","2.0","18.0","0.0","0.0","10.5"
"Patrick Ricard","BALhigh","2.7","10.9","0.0","3.7","26.2","0.2","0.0","8.5"
"","high","2.7","10.9","0.0","3.7","26.2","0.2","0.0","9.0"
"","low","2.7","10.9","0.0","3.7","26.2","0.2","0.0","9.0"
"Michael Burton","DENhigh","2.4","9.4","0.0","3.7","24.5","0.2","0.0","8.2"
"","high","2.4","9.4","0.0","3.7","24.5","0.2","0.0","8.4"
"","low","2.4","9.4","0.0","3.7","24.5","0.2","0.0","8.4"
"Adam Prentice","NOhigh","3.3","14.0","0.1","3.3","23.0","0.1","0.0","8.1"
"","high","4.2","18.4","0.1","4.5","31.9","0.2","0.0","9.8"
"","low","2.4","9.6","0.0","2.1","14.1","0.1","0.0","6.5"
"Patrick Taylor Jr.","SFhigh","7.9","28.0","0.2","1.9","13.5","0.1","0.0","7.5"
"","high","13.4","57.0","0.5","2.0","15.0","0.2","0.0","12.2"
"","low","2.5","10.0","0.0","1.8","12.7","0.0","0.1","5.3"
"C.J. Ham","MINhigh","2.0","8.3","0.0","3.3","22.4","0.1","0.0","7.0"
"","high","2.2","8.6","0.1","4.5","29.4","0.1","0.0","8.0"
"","low","1.9","8.1","0.0","2.1","15.3","0.1","0.0","6.6"
"Keilan Robinson","JAChigh","0.0","33.0","0.0","2.0","15.0","0.0","0.0","6.8"
"","high","0.0","33.0","0.0","2.0","15.0","0.0","0.0","14.8"
"","low","0.0","33.0","0.0","2.0","15.0","0.0","0.0","14.8"
"Keaontay Ingram","KChigh","0.0","30.0","0.0","2.0","10.0","0.0","0.0","6.0"
"","high","0.0","30.0","0.0","2.0","10.0","0.0","0.0","8.0"
"","low","0.0","30.0","0.0","2.0","10.0","0.0","0.0","8.0"
"Myles Gaskin","MINhigh","0.0","26.0","0.0","2.0","11.0","0.0","0.0","5.7"
"","high","0.0","26.0","0.0","2.0","11.0","0.0","0.0","7.7"
"","low","0.0","26.0","0.0","2.0","11.0","0.0","0.0","7.7"
"La'Mical Perine","GBhigh","0.0","25.0","0.0","2.0","11.0","0.0","0.0","5.6"
"","high","0.0","25.0","0.0","2.0","11.0","0.0","0.0","7.6"
"","low","0.0","25.0","0.0","2.0","11.0","0.0","0.0","7.6"
"Tyrion Davis-Price","PHIhigh","0.0","17.0","0.0","1.0","3.0","0.0","0.0","3.0"
"","high","0.0","17.0","0.0","1.0","3.0","0.0","0.0","4.0"
"","low","0.0","17.0","0.0","1.0","3.0","0.0","0.0","4.0"
""
""
