"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Raheem Mostert","MIAhigh","168.7","803.9","8.5","25.4","179.2","1.3","1.0","180.5"
"","high","185.0","868.0","11.0","28.7","214.7","2.0","0.9","199.9"
"","low","154.0","720.4","6.4","17.0","108.0","1.0","1.0","169.3"
"Tony Pollard","TENhigh","197.6","846.4","5.7","34.1","236.6","0.9","0.9","179.9"
"","high","233.0","935.0","7.0","41.0","278.0","1.3","0.8","214.9"
"","low","172.5","729.0","5.0","28.0","190.0","0.0","1.0","168.9"
"Jaylen Warren","PIThigh","142.4","677.3","3.9","47.5","323.8","1.7","1.4","178.6"
"","high","164.9","739.0","4.3","54.3","370.4","2.2","1.0","219.2"
"","low","128.7","618.8","3.2","41.0","282.8","1.0","2.0","160.5"
"Devin Singletary","NYGhigh","196.3","847.3","5.0","33.0","212.8","0.7","1.0","171.0"
"","high","216.5","915.7","6.2","39.0","268.0","1.0","0.9","214.9"
"","low","184.6","759.0","4.0","26.7","161.3","0.0","1.0","148.0"
"Brian Robinson Jr.","WAShigh","185.3","776.0","5.3","28.8","241.2","1.8","1.5","170.2"
"","high","204.0","841.6","6.0","34.9","292.0","4.0","1.0","192.9"
"","low","162.2","682.3","4.6","23.9","184.0","0.9","2.0","148.4"
"Austin Ekeler","WAShigh","126.5","523.9","4.2","46.3","366.9","2.0","1.7","169.2"
"","high","136.9","574.9","7.0","51.2","433.1","2.1","1.0","210.9"
"","low","117.0","455.0","3.0","39.0","325.0","2.0","3.0","160.3"
"Tyjae Spears","TENhigh","141.7","621.0","3.6","43.3","335.9","1.6","0.9","168.1"
"","high","176.6","717.0","4.6","55.0","436.0","2.0","0.6","214.9"
"","low","124.1","544.1","3.0","28.8","220.9","1.0","1.0","139.3"
"Zack Moss","CINhigh","170.3","737.9","5.8","29.5","205.0","1.4","0.5","166.4"
"","high","191.8","806.9","6.0","37.0","254.0","3.0","0.0","202.4"
"","low","149.4","646.8","5.6","22.4","149.4","1.0","1.0","154.5"
"Chase Brown","CINhigh","142.7","618.5","4.0","37.3","304.5","1.9","0.6","163.9"
"","high","180.9","735.5","4.7","41.4","400.0","3.0","0.0","193.8"
"","low","122.0","526.0","3.0","34.0","264.0","1.0","1.0","152.3"
"Ezekiel Elliott","DALhigh","170.2","663.7","5.7","29.2","193.9","1.3","1.0","155.4"
"","high","191.2","752.2","6.3","32.1","216.7","2.0","0.9","185.4"
"","low","130.0","459.0","4.0","25.9","161.7","1.0","1.0","113.2"
"Jerome Ford","CLEhigh","162.4","642.8","3.8","34.0","241.9","1.9","0.8","155.0"
"","high","203.2","820.4","5.2","41.0","292.0","5.0","0.5","188.6"
"","low","137.0","547.0","3.0","26.0","184.0","1.0","1.0","131.1"
"Gus Edwards","LAChigh","183.9","781.2","7.0","15.0","131.2","0.4","1.3","147.8"
"","high","199.0","855.0","10.0","18.0","186.0","1.0","1.0","170.0"
"","low","175.0","638.0","5.2","8.9","64.4","0.0","2.0","136.0"
"Nick Chubb","CLEhigh","150.7","730.7","5.0","17.5","138.2","0.6","0.8","136.5"
"","high","183.0","828.0","7.0","28.0","223.0","1.0","0.5","169.6"
"","low","128.6","612.2","4.0","12.7","96.9","0.0","1.0","114.0"
"Jonathon Brooks","CARhigh","152.2","664.4","4.4","23.1","177.9","0.9","1.6","136.3"
"","high","162.0","699.0","5.0","31.0","235.0","1.0","0.7","181.5"
"","low","143.3","612.0","3.4","17.0","126.6","0.6","3.0","107.1"
"Chuba Hubbard","CARhigh","156.3","621.9","4.0","27.7","192.5","0.5","0.9","134.4"
"","high","200.6","802.1","4.5","30.8","223.9","1.0","0.6","157.7"
"","low","135.0","554.0","3.3","23.0","165.0","0.0","1.0","108.7"
"J.K. Dobbins","LAChigh","133.6","590.1","3.9","24.9","188.4","1.5","0.9","133.1"
"","high","148.4","743.4","6.0","33.0","271.0","4.0","0.7","149.9"
"","low","123.1","472.0","3.0","11.1","73.6","0.4","1.0","109.6"
"Antonio Gibson","NEhigh","116.2","449.5","2.5","38.1","285.8","1.2","1.4","131.3"
"","high","124.0","523.4","3.1","53.0","398.0","2.0","1.0","157.7"
"","low","106.0","366.0","2.0","30.0","242.9","0.8","2.0","120.1"
"Jaleel McLaughlin","DENhigh","102.7","498.4","2.7","32.8","215.1","1.2","0.8","126.1"
"","high","105.1","587.0","3.0","39.9","273.3","2.0","0.3","163.7"
"","low","97.0","436.3","2.0","27.0","145.0","0.9","1.0","110.8"
"Ty Chandler","MINhigh","146.6","598.6","4.3","21.1","154.9","0.6","0.8","124.7"
"","high","156.7","684.9","6.0","23.0","174.0","1.0","0.4","134.6"
"","low","128.0","492.0","3.0","15.4","104.7","0.0","1.0","109.1"
"Rico Dowdle","DALhigh","140.0","545.2","3.6","23.6","181.1","1.2","0.4","124.3"
"","high","191.0","726.0","5.0","27.8","214.2","2.0","0.0","139.6"
"","low","112.4","476.0","3.0","22.0","160.0","1.0","1.0","113.9"
"Blake Corum","LARhigh","138.3","588.4","4.6","19.5","152.3","0.7","1.5","122.6"
"","high","166.4","723.1","6.0","23.0","165.8","1.1","0.6","147.2"
"","low","97.0","427.0","3.0","13.0","129.6","0.0","3.0","96.5"
"Zach Charbonnet","SEAhigh","117.5","486.4","2.9","31.8","213.2","0.8","0.8","122.3"
"","high","123.0","531.5","3.5","35.5","245.3","1.2","0.3","143.0"
"","low","108.4","441.5","2.0","26.0","187.0","0.0","1.0","95.8"
"Tyler Allgeier","ATLhigh","134.4","549.3","3.8","21.1","167.6","1.2","0.8","121.2"
"","high","138.2","568.5","4.9","28.0","212.0","2.0","0.3","134.3"
"","low","129.0","517.0","3.0","17.0","127.0","0.9","1.0","112.1"
"Trey Benson","ARIhigh","134.3","578.6","3.9","19.1","139.5","0.9","1.5","116.6"
"","high","156.0","739.0","6.0","25.7","181.7","1.0","0.6","137.8"
