"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","586.4","374.7","4,331.4","29.0","10.0","25.7","77.9","1.0","1.0","306.1"
"","low","533.8","346.6","4,015.0","23.2","14.0","20.8","53.0","0.0","3.0","240.6"
"Aaron Rodgers","NYJhigh","544.4","359.8","3,840.3","26.2","9.0","33.2","109.7","1.3","2.7","262.8"
"","high","554.0","371.0","3,950.7","27.2","6.9","40.5","187.9","2.1","2.0","306.2"
"","low","520.7","342.2","3,623.0","24.0","11.0","28.0","73.0","0.0","3.0","255.5"
"Geno Smith","SEAhigh","522.5","342.4","3,753.8","24.1","11.9","50.6","203.9","1.7","3.1","259.2"
"","high","579.0","373.9","4,076.1","28.0","10.0","57.0","235.0","2.2","3.0","299.1"
"","low","482.0","319.7","3,525.9","20.0","15.4","43.0","147.0","1.0","3.2","227.6"
"Will Levis","TENhigh","512.8","321.9","3,715.2","22.1","12.6","53.9","185.5","2.2","4.2","248.0"
"","high","549.2","348.3","3,845.0","24.0","11.0","68.9","281.9","3.1","3.0","307.5"
"","low","439.0","284.0","3,287.0","20.4","14.0","48.0","131.0","2.0","5.6","229.1"
"Daniel Jones","NYGhigh","493.9","322.6","3,225.0","16.6","10.6","95.0","469.1","3.5","3.6","245.4"
"","high","537.1","360.1","3,619.7","20.0","7.0","106.0","556.0","4.5","3.0","279.6"
"","low","468.0","304.0","2,923.0","14.1","14.0","85.0","414.0","3.0","4.7","216.3"
"Derek Carr","NOhigh","544.4","363.4","3,843.2","24.5","10.9","24.7","71.1","0.5","3.2","244.4"
"","high","571.4","381.5","4,092.7","31.0","10.0","32.0","90.5","1.0","3.0","311.0"
"","low","523.3","346.2","3,650.0","20.6","11.2","12.0","55.0","0.0","3.7","218.8"
"Sam Darnold","MINhigh","540.8","343.7","3,720.5","22.0","14.5","44.0","171.4","2.1","4.1","243.7"
"","high","592.7","381.0","4,130.0","25.0","12.0","52.0","248.0","3.1","2.0","289.5"
"","low","469.7","292.0","3,117.4","17.0","20.0","31.0","57.0","1.0","5.3","191.9"
